"id","time","service","source","subservice","priority","category","sentiment_analysis","summary","original","keywords","created_at","updated_at"
"b8dfa55f-5dab-41ab-8bee-75c9ac94e764","2025-12-03 18:46:00","metro","mail","conductor","3","staff-passenger-behavior","-1","trato poco amable por parte del personal de control","Me gustaría relatarles una situación que me afectó bastante: trato poco amable por parte del personal de control. Fue un inconveniente serio porque no recibí información clara en ningún momento. Como consecuencia, perdí mi conexión con otro transporte. Me gustaría que se reforzara la atención en situaciones imprevistas. Un saludo cordial, Miguel Simó Galindo Además, deseo añadir que toda la experiencia resultó bastante frustrante y deja claro lo importante que es contar con una comunicación transparente y un apoyo constante para los pasajeros.","[""trato poco amable"", ""personal de control"", ""atenci\u00f3n"", ""comunicaci\u00f3n transparente""]","2025-11-23 03:04:59+00","2025-11-23 03:04:59+00"
"2484e9cc-d76b-404f-86af-40c48e80f9ed","2024-10-25 16:06:00","metro","mail","facilidades-calefacción","2","facilities-cleanliness","-1","calefacción averiada generó estrés y reorganización de compromisos","Tuve un problema durante el viaje y considero necesario notificarlo: calefacción averiada. Esto generó bastante estrés ya que tenía compromisos importantes después. Tuve que reorganizar citas y generar cambios de última hora. Me gustaría que en el futuro haya más claridad y rapidez en la comunicación. Un saludo cordial, Américo Mas Correa Además, deseo añadir que toda la experiencia resultó bastante frustrante y deja claro lo importante que es contar con una comunicación transparente y un apoyo constante para los pasajeros.","[""calefacci\u00f3n"", ""estr\u00e9s"", ""reorganizaci\u00f3n""]","2025-11-23 03:04:59+00","2025-11-23 03:04:59+00"
"af882597-b870-448f-b085-8f0a3ff41038","2025-08-20 15:14:00","metro","mail","app","5","information-communication","1","sugerencia para mejorar la información sobre retrasos","He experimentado un inconveniente durante mi viaje que deseo compartir: una sugerencia para mejorar la información sobre retrasos. Esto generó bastante estrés ya que tenía compromisos importantes después. Esto provocó gastos adicionales que no debería haber tenido. Me gustaría que en el futuro haya más claridad y rapidez en la comunicación. Un saludo cordial, Adriana Jordana Hervia Garzón Además, deseo añadir que toda la experiencia resultó bastante frustrante y deja claro lo importante que es contar con una comunicación transparente y un apoyo constante para los pasajeros.","[""retrasos"", ""informaci\u00f3n"", ""comunicaci\u00f3n""]","2025-11-23 03:04:59+00","2025-11-23 03:04:59+00"
"f3f34f07-62ed-43ec-bd8a-0f685f9b226e","2024-11-24 08:41:00","metro","mail","limpieza","3","facilities-cleanliness","-1","ventanas sucias generaron estrés y retraso en el trayecto","En mi último trayecto ocurrió algo que considero importante comunicar: ventanas sucias. Esto generó bastante estrés ya que tenía compromisos importantes después. A causa de ello, llegué mucho más tarde de lo previsto. Confío en que se revisen los procesos para que los pasajeros estén mejor acompañados. Un saludo cordial, Amador Pedraza Gutiérrez Además, deseo añadir que toda la experiencia resultó bastante frustrante y deja claro lo importante que es contar con una comunicación transparente y un apoyo constante para los pasajeros.","[""ventanas sucias"", ""estr\u00e9s"", ""retraso""]","2025-11-23 03:04:59+00","2025-11-23 03:04:59+00"
"fb72303e-5249-4bfd-87e9-38260c8eeec9","2025-02-25 21:43:00","tren","mail","taquilla","4","tickets-fares","-1","dudas sobre tarjeta de descuento en el tren","Quiero detallar un problema que tuve recientemente en el tren: dudas sobre la tarjeta de descuento. El problema se agravó porque no había alternativas evidentes en ese momento. Terminé buscando soluciones por mi cuenta, lo cual fue muy difícil. Me gustaría que en el futuro haya más claridad y rapidez en la comunicación. Un saludo cordial, Nydia Jover Toro Además, deseo añadir que toda la experiencia resultó bastante frustrante y deja claro lo importante que es contar con una comunicación transparente y un apoyo constante para los pasajeros.","[""tarjeta de descuento"", ""comunicaci\u00f3n"", ""apoyo""]","2025-11-23 03:04:59+00","2025-11-23 03:04:59+00"
"8ebe1115-345c-43a6-a939-984a51976091","2025-01-24 09:30:00","metro","mail","accesibilidad","2","accessibility","-1","rampa para silla de ruedas no disponible, frustrante y falta de comunicación","Me gustaría relatarles una situación que me afectó bastante: la rampa para silla de ruedas no estaba disponible. Lo más complicado fue que dependía de la puntualidad para llegar a tiempo. Terminé buscando soluciones por mi cuenta, lo cual fue muy difícil. Me gustaría que se reforzara la atención en situaciones imprevistas. Un saludo cordial, Domingo Arnal Además, deseo añadir que toda la experiencia resultó bastante frustrante y deja claro lo importante que es contar con una comunicación transparente y un apoyo constante para los pasajeros.","[""rampa"", ""silla de ruedas"", ""accesibilidad"", ""comunicaci\u00f3n""]","2025-11-23 03:04:59+00","2025-11-23 03:04:59+00"
"4e10aace-e27a-423d-920a-7087a301ac45","2025-07-23 21:26:00","metro","mail","servicio de objetos perdidos","3","lost-items-security","-1","información poco clara del servicio de objetos perdidos","Me gustaría relatarles una situación que me afectó bastante: haber recibido información poco clara del servicio de objetos perdidos. Esto generó bastante estrés ya que tenía compromisos importantes después. Como consecuencia, perdí mi conexión con otro transporte. Me gustaría que en el futuro haya más claridad y rapidez en la comunicación. Un saludo cordial, Arcelia Marín Bárcena Además, deseo añadir que toda la experiencia resultó bastante frustrante y deja claro lo importante que es contar con una comunicación transparente y un apoyo constante para los pasajeros.","[""informaci\u00f3n"", ""claridad"", ""comunicaci\u00f3n"", ""objetos perdidos""]","2025-11-23 03:04:59+00","2025-11-23 03:04:59+00"
"20531185-3503-4db8-84b9-79547385c341","2024-10-24 17:06:00","tren","mail","información","2","delays-cancellations","-1","cancelación del tren por condiciones meteorológicas sin información clara","Me pongo en contacto porque he vivido una situación complicada: la cancelación del tren por condiciones meteorológicas. Fue un inconveniente serio porque no recibí información clara en ningún momento. Tuve que reorganizar citas y generar cambios de última hora. Confío en que se revisen los procesos para que los pasajeros estén mejor acompañados. Un saludo cordial, Sara Ugarte Cañete Además, deseo añadir que toda la experiencia resultó bastante frustrante y deja claro lo importante que es contar con una comunicación transparente y un apoyo constante para los pasajeros.","[""cancelaci\u00f3n"", ""condiciones meteorol\u00f3gicas"", ""informaci\u00f3n"", ""comunicaci\u00f3n""]","2025-11-23 03:04:59+00","2025-11-23 03:04:59+00"
"26dab7dc-1ef0-4d28-8ef5-427b683b08a8","2023-04-20 18:53:00","metro","mail","taquilla","3","tickets-fares","-1","asiento reservado ocupado sin información clara","Me pongo en contacto porque he vivido una situación complicada: un asiento reservado ocupado por otra persona. Fue un inconveniente serio porque no recibí información clara en ningún momento. Esto provocó gastos adicionales que no debería haber tenido. Me gustaría que en el futuro haya más claridad y rapidez en la comunicación. Un saludo cordial, Wálter Porfirio Cerdá Agustín Además, deseo añadir que toda la experiencia resultó bastante frustrante y deja claro lo importante que es contar con una comunicación transparente y un apoyo constante para los pasajeros.","[""asiento reservado"", ""ocupado"", ""falta de informaci\u00f3n""]","2025-11-23 03:04:59+00","2025-11-23 03:04:59+00"
"9535f467-1398-460c-99b9-164683cf73b9","2023-11-16 06:49:00","metro","mail","facilities-cleanliness","3","facilities-cleanliness","-1","baños sucios o averiados durante viaje en metro","Quisiera explicar lo que ocurrió durante mi último viaje: baños sucios o averiados. La situación fue especialmente problemática porque afectó toda mi organización. Como consecuencia, perdí mi conexión con otro transporte. Sería de gran ayuda que se implementaran mejoras para prevenir estos problemas. Un saludo cordial, Reinaldo Llabrés Cervera Además, deseo añadir que toda la experiencia resultó bastante frustrante y deja claro lo importante que es contar con una comunicación transparente y un apoyo constante para los pasajeros.","[""ba\u00f1os sucios"", ""averiados"", ""metro"", ""limpieza""]","2025-11-23 03:04:59+00","2025-11-23 03:04:59+00"
